date;open;high;low;close;volume
09.10.2000;6,00;6,00;6,00;6,00;650800,00
10.10.2000;6,00;6,00;6,00;6,00;1000,00
11.10.2000;5,80;5,80;5,80;5,80;1000,00
12.10.2000;5,80;5,80;5,80;5,80;0,00
13.10.2000;5,75;5,75;5,75;5,75;500,00
16.10.2000;6,00;6,00;6,00;6,00;500,00
17.10.2000;6,00;6,00;6,00;6,00;0,00
18.10.2000;6,00;6,00;6,00;6,00;0,00
19.10.2000;6,00;6,00;6,00;6,00;0,00
20.10.2000;6,00;6,00;6,00;6,00;0,00
23.10.2000;6,00;6,00;6,00;6,00;0,00
24.10.2000;6,00;6,00;6,00;6,00;20200,00
25.10.2000;5,75;5,75;5,75;5,75;200,00
26.10.2000;5,75;5,80;5,75;5,80;800,00
27.10.2000;5,80;5,80;5,80;5,80;0,00
30.10.2000;5,80;5,80;5,80;5,80;0,00
31.10.2000;5,80;5,80;5,80;5,80;0,00
01.11.2000;5,80;5,80;5,80;5,80;0,00
02.11.2000;5,80;5,80;5,80;5,80;0,00
03.11.2000;5,80;5,80;5,80;5,80;0,00
06.11.2000;5,75;6,00;5,75;6,00;2000,00
07.11.2000;6,00;6,00;6,00;6,00;0,00
08.11.2000;6,00;6,00;6,00;6,00;0,00
09.11.2000;6,00;6,00;6,00;6,00;0,00
10.11.2000;6,00;6,00;6,00;6,00;0,00
13.11.2000;6,00;6,00;6,00;6,00;0,00
14.11.2000;5,55;5,55;5,55;5,55;200,00
15.11.2000;5,70;5,70;5,70;5,70;200,00
16.11.2000;5,70;5,70;5,70;5,70;0,00
17.11.2000;5,70;5,70;5,70;5,70;0,00
20.11.2000;5,70;5,70;5,70;5,70;0,00
21.11.2000;5,50;5,50;5,50;5,50;200,00
22.11.2000;5,50;5,50;5,50;5,50;200,00
23.11.2000;5,60;5,60;5,60;5,60;200,00
24.11.2000;5,30;5,60;5,30;5,30;400,00
27.11.2000;4,70;5,79;4,70;5,79;400,00
28.11.2000;6,00;6,00;6,00;6,00;200,00
29.11.2000;5,79;5,79;5,79;5,79;200,00
30.11.2000;6,00;6,00;6,00;6,00;200,00
01.12.2000;6,20;6,20;6,20;6,20;200,00
04.12.2000;6,25;6,25;6,25;6,25;200,00
05.12.2000;6,30;6,30;6,30;6,30;200,00
07.12.2000;6,30;6,30;6,30;6,30;200,00
08.12.2000;6,40;6,40;6,40;6,40;0,00
11.12.2000;6,40;6,40;6,40;6,40;200,00
12.12.2000;6,40;6,40;6,40;6,40;0,00
13.12.2000;6,40;6,40;6,40;6,40;0,00
14.12.2000;5,95;5,95;5,95;5,95;1000,00
15.12.2000;5,90;5,90;5,90;5,90;0,00
18.12.2000;5,75;5,75;5,75;5,75;0,00
19.12.2000;6,00;6,00;5,85;5,85;12800,00
20.12.2000;5,50;5,50;5,50;5,50;1000,00
21.12.2000;5,50;5,50;5,50;5,50;0,00
22.12.2000;5,50;5,50;5,50;5,50;0,00
27.12.2000;5,50;5,50;5,50;5,50;200,00
28.12.2000;5,50;5,50;5,50;5,50;0,00
29.12.2000;5,50;5,50;5,50;5,50;0,00
02.01.2001;5,55;5,55;5,50;5,50;2000,00
03.01.2001;5,50;5,50;5,50;5,50;0,00
04.01.2001;5,60;5,80;5,45;5,80;1900,00
05.01.2001;5,50;5,50;5,50;5,50;1000,00
08.01.2001;5,50;5,50;5,50;5,50;0,00
09.01.2001;5,70;5,70;5,70;5,70;400,00
10.01.2001;5,70;5,70;5,70;5,70;0,00
11.01.2001;5,70;5,70;5,70;5,70;200,00
12.01.2001;5,50;5,50;5,50;5,50;0,00
15.01.2001;5,70;5,70;5,70;5,70;0,00
16.01.2001;5,60;5,60;5,60;5,60;400,00
17.01.2001;5,60;5,60;5,60;5,60;400,00
18.01.2001;5,60;5,60;5,60;5,60;0,00
19.01.2001;5,50;5,50;5,20;5,20;600,00
22.01.2001;5,20;5,20;5,20;5,20;0,00
23.01.2001;5,20;5,20;5,20;5,20;0,00
24.01.2001;5,20;5,20;5,20;5,20;0,00
25.01.2001;5,20;5,20;5,20;5,20;0,00
26.01.2001;5,20;5,20;5,20;5,20;0,00
29.01.2001;5,30;5,30;5,30;5,30;200,00
30.01.2001;5,30;5,30;5,30;5,30;0,00
31.01.2001;5,30;5,30;5,30;5,30;0,00
01.02.2001;5,40;5,40;5,40;5,40;200,00
02.02.2001;5,40;5,40;5,40;5,40;0,00
05.02.2001;5,40;5,40;5,40;5,40;0,00
06.02.2001;5,40;5,40;5,40;5,40;0,00
07.02.2001;5,40;5,40;5,40;5,40;200,00
08.02.2001;5,40;5,40;5,40;5,40;0,00
09.02.2001;5,40;5,40;5,40;5,40;0,00
12.02.2001;5,00;5,00;5,00;5,00;1000,00
13.02.2001;5,00;5,00;5,00;5,00;0,00
14.02.2001;5,00;5,00;5,00;5,00;0,00
15.02.2001;5,60;5,60;5,60;5,60;200,00
16.02.2001;5,50;5,50;5,50;5,50;0,00
19.02.2001;5,50;5,50;5,50;5,50;0,00
20.02.2001;5,50;5,50;5,50;5,50;0,00
21.02.2001;5,50;5,50;5,50;5,50;0,00
22.02.2001;5,50;5,50;5,50;5,50;0,00
23.02.2001;5,50;5,50;5,50;5,50;0,00
26.02.2001;5,50;5,50;5,50;5,50;0,00
27.02.2001;5,10;5,10;5,10;5,10;200,00
28.02.2001;5,60;5,60;5,60;5,60;0,00
01.03.2001;5,60;5,60;5,60;5,60;0,00
02.03.2001;5,60;5,60;5,60;5,60;0,00
05.03.2001;5,60;5,60;5,60;5,60;0,00
06.03.2001;5,60;5,60;5,60;5,60;0,00
07.03.2001;5,60;5,60;5,60;5,60;0,00
08.03.2001;5,60;5,60;5,60;5,60;0,00
09.03.2001;5,48;5,48;5,48;5,48;0,00
12.03.2001;5,48;5,48;5,48;5,48;200,00
13.03.2001;5,48;5,48;5,48;5,48;0,00
14.03.2001;5,42;5,42;5,42;5,42;250,00
15.03.2001;5,42;5,42;5,42;5,42;0,00
16.03.2001;5,42;5,42;5,42;5,42;0,00
19.03.2001;5,42;5,42;5,42;5,42;0,00
20.03.2001;5,42;5,42;5,42;5,42;0,00
21.03.2001;5,42;5,42;5,42;5,42;0,00
22.03.2001;5,42;5,42;5,42;5,42;0,00
23.03.2001;5,42;5,42;5,42;5,42;0,00
26.03.2001;5,42;5,42;5,42;5,42;0,00
27.03.2001;5,42;5,42;5,42;5,42;0,00
28.03.2001;5,42;5,42;5,42;5,42;0,00
29.03.2001;5,42;5,42;5,42;5,42;0,00
30.03.2001;5,42;5,42;5,42;5,42;0,00
02.04.2001;5,00;5,00;5,00;5,00;200,00
03.04.2001;5,00;5,00;5,00;5,00;0,00
04.04.2001;5,00;5,00;5,00;5,00;0,00
05.04.2001;5,50;5,50;5,50;5,50;200,00
06.04.2001;5,50;5,50;5,50;5,50;0,00
09.04.2001;5,50;5,50;5,50;5,50;0,00
10.04.2001;5,50;5,50;5,50;5,50;0,00
11.04.2001;5,50;5,50;5,50;5,50;0,00
17.04.2001;5,50;5,50;5,50;5,50;0,00
18.04.2001;5,50;5,50;5,50;5,50;0,00
19.04.2001;5,25;5,25;5,25;5,25;800,00
20.04.2001;5,25;5,25;5,25;5,25;0,00
23.04.2001;5,25;5,25;5,25;5,25;0,00
24.04.2001;5,25;5,25;5,25;5,25;0,00
25.04.2001;5,25;5,25;5,25;5,25;200,00
26.04.2001;5,25;5,25;5,25;5,25;0,00
27.04.2001;5,25;5,25;5,25;5,25;0,00
30.04.2001;5,25;5,25;5,25;5,25;0,00
02.05.2001;5,25;5,25;5,25;5,25;0,00
03.05.2001;5,25;5,25;5,25;5,25;0,00
04.05.2001;5,25;5,25;5,25;5,25;0,00
07.05.2001;5,25;5,25;5,25;5,25;0,00
08.05.2001;5,25;5,25;5,25;5,25;0,00
09.05.2001;5,25;5,25;5,25;5,25;0,00
10.05.2001;5,25;5,25;5,25;5,25;0,00
11.05.2001;5,25;5,25;5,25;5,25;0,00
14.05.2001;5,50;5,50;5,50;5,50;600,00
15.05.2001;5,50;5,50;5,50;5,50;0,00
16.05.2001;5,50;5,50;5,50;5,50;0,00
17.05.2001;5,50;5,50;5,50;5,50;0,00
18.05.2001;5,50;5,50;5,50;5,50;0,00
21.05.2001;5,50;5,50;5,50;5,50;0,00
22.05.2001;5,60;5,60;5,60;5,60;0,00
23.05.2001;5,60;5,60;5,60;5,60;0,00
25.05.2001;5,50;5,50;5,50;5,50;1800,00
28.05.2001;5,40;5,40;5,40;5,40;400,00
29.05.2001;5,40;5,40;5,40;5,40;0,00
30.05.2001;5,30;5,30;5,30;5,30;200,00
31.05.2001;5,30;5,30;5,30;5,30;0,00
01.06.2001;5,30;5,30;5,30;5,30;0,00
04.06.2001;5,50;5,50;5,50;5,50;1400,00
05.06.2001;5,50;5,50;5,50;5,50;600,00
06.06.2001;5,50;5,50;5,50;5,50;0,00
07.06.2001;5,50;5,50;5,50;5,50;300,00
08.06.2001;5,40;5,44;5,40;5,44;1100,00
11.06.2001;5,50;5,50;5,50;5,50;800,00
12.06.2001;5,50;5,50;5,50;5,50;0,00
13.06.2001;5,50;5,50;5,50;5,50;0,00
14.06.2001;5,50;5,50;5,50;5,50;0,00
15.06.2001;5,50;5,50;5,50;5,50;0,00
18.06.2001;5,50;5,50;5,50;5,50;0,00
19.06.2001;5,50;5,50;5,50;5,50;0,00
20.06.2001;5,50;5,50;5,50;5,50;0,00
21.06.2001;5,50;5,50;5,50;5,50;0,00
25.06.2001;5,50;5,50;5,50;5,50;0,00
26.06.2001;5,50;5,50;5,50;5,50;0,00
27.06.2001;5,50;5,50;5,50;5,50;0,00
28.06.2001;5,50;5,50;5,50;5,50;0,00
29.06.2001;5,50;5,50;5,50;5,50;0,00
02.07.2001;5,50;5,50;5,50;5,50;0,00
03.07.2001;5,50;5,50;5,50;5,50;0,00
04.07.2001;5,50;5,50;5,50;5,50;0,00
05.07.2001;5,50;5,50;5,50;5,50;0,00
06.07.2001;5,50;5,50;5,50;5,50;0,00
09.07.2001;5,50;5,50;5,50;5,50;400,00
10.07.2001;5,50;5,50;5,50;5,50;0,00
11.07.2001;5,50;5,50;5,50;5,50;0,00
12.07.2001;5,50;5,50;5,50;5,50;0,00
13.07.2001;5,50;5,50;5,50;5,50;0,00
16.07.2001;5,50;5,50;5,50;5,50;0,00
17.07.2001;5,50;5,50;5,50;5,50;0,00
18.07.2001;5,50;5,50;5,50;5,50;0,00
19.07.2001;5,50;5,50;5,50;5,50;600,00
20.07.2001;5,40;5,40;5,40;5,40;400,00
23.07.2001;5,40;5,40;5,40;5,40;0,00
24.07.2001;5,40;5,40;5,40;5,40;0,00
25.07.2001;5,40;5,40;5,40;5,40;0,00
26.07.2001;5,40;5,40;5,40;5,40;0,00
27.07.2001;5,40;5,40;5,40;5,40;0,00
30.07.2001;5,40;5,40;5,40;5,40;0,00
31.07.2001;5,40;5,40;5,40;5,40;0,00
01.08.2001;5,40;5,40;5,40;5,40;0,00
02.08.2001;5,40;5,40;5,40;5,40;0,00
03.08.2001;5,40;5,40;5,40;5,40;0,00
06.08.2001;5,40;5,40;5,40;5,40;0,00
07.08.2001;5,40;5,40;5,40;5,40;0,00
08.08.2001;5,40;5,40;5,40;5,40;0,00
09.08.2001;5,40;5,40;5,40;5,40;0,00
10.08.2001;5,40;5,40;5,40;5,40;0,00
13.08.2001;5,40;5,40;5,40;5,40;0,00
14.08.2001;5,40;5,40;5,40;5,40;0,00
15.08.2001;5,40;5,40;5,40;5,40;0,00
16.08.2001;5,40;5,40;5,40;5,40;0,00
17.08.2001;5,40;5,40;5,40;5,40;0,00
20.08.2001;5,60;5,60;4,70;4,70;3000,00
21.08.2001;5,00;5,00;4,80;4,80;800,00
22.08.2001;4,80;4,80;4,80;4,80;0,00
23.08.2001;4,80;4,80;4,80;4,80;0,00
24.08.2001;4,80;4,80;4,80;4,80;0,00
27.08.2001;5,40;5,40;5,40;5,40;200,00
28.08.2001;4,60;4,60;4,60;4,60;600,00
29.08.2001;4,60;4,60;4,60;4,60;0,00
30.08.2001;4,60;4,60;4,60;4,60;0,00
31.08.2001;4,70;4,70;4,00;4,70;1000,00
03.09.2001;4,00;4,00;4,00;4,00;200,00
04.09.2001;5,00;5,00;4,05;4,20;3600,00
05.09.2001;4,40;4,40;4,20;4,20;400,00
06.09.2001;4,70;4,70;4,20;4,20;10400,00
07.09.2001;4,20;4,20;4,10;4,10;1600,00
10.09.2001;4,10;4,10;4,10;4,10;0,00
11.09.2001;4,00;4,00;4,00;4,00;200400,00
12.09.2001;4,00;4,00;3,80;3,80;600,00
13.09.2001;3,80;3,80;3,80;3,80;0,00
