date;open;high;low;close;volume
24.02.2016;8,21;8,22;8,20;8,20;1109,00
25.02.2016;8,14;8,14;8,08;8,12;1960,00
26.02.2016;8,12;8,13;8,09;8,09;2531,00
29.02.2016;8,09;8,09;8,05;8,05;2580,00
01.03.2016;8,13;8,15;8,10;8,10;2030,00
02.03.2016;8,10;8,28;8,10;8,26;5124,00
03.03.2016;8,22;8,30;8,22;8,30;2550,00
04.03.2016;8,30;8,34;8,30;8,30;2863,00
07.03.2016;8,30;8,30;8,30;8,30;3580,00
08.03.2016;8,30;8,30;8,22;8,22;12267,00
09.03.2016;8,25;8,50;8,25;8,50;4312,00
10.03.2016;8,38;8,38;8,32;8,32;2052,00
11.03.2016;8,32;8,50;8,32;8,50;2715,00
14.03.2016;8,45;8,45;8,30;8,35;7327,00
15.03.2016;8,31;8,44;8,30;8,35;6045,00
16.03.2016;8,35;8,35;8,30;8,30;4850,00
17.03.2016;8,30;8,30;8,30;8,30;2000,00
18.03.2016;8,30;8,40;8,29;8,29;1062,00
21.03.2016;8,37;8,37;8,20;8,20;3758,00
22.03.2016;8,20;8,20;8,07;8,13;3148,00
23.03.2016;8,15;8,15;8,08;8,08;10587,00
24.03.2016;8,05;8,05;7,91;7,92;9441,00
29.03.2016;7,92;7,92;7,80;7,83;11802,00
30.03.2016;7,82;7,90;7,80;7,85;8052,00
31.03.2016;7,85;7,85;7,75;7,75;3359,00
01.04.2016;7,71;7,90;7,71;7,75;1449,00
04.04.2016;7,75;7,80;7,69;7,80;5295,00
05.04.2016;7,67;7,70;7,66;7,66;3598,00
06.04.2016;7,63;7,67;7,60;7,60;6412,00
07.04.2016;7,58;7,67;7,55;7,55;6095,00
08.04.2016;7,55;7,62;7,54;7,62;6681,00
11.04.2016;7,62;7,62;7,55;7,57;4004,00
12.04.2016;7,57;7,65;7,57;7,59;6285,00
13.04.2016;7,58;7,65;7,56;7,65;11910,00
14.04.2016;7,60;7,80;7,60;7,80;5505,00
15.04.2016;7,94;7,94;7,72;7,76;10572,00
18.04.2016;7,76;7,76;7,68;7,70;12958,00
19.04.2016;7,70;7,80;7,68;7,70;8974,00
20.04.2016;7,70;7,79;7,70;7,79;7295,00
21.04.2016;7,84;7,84;7,84;7,84;638,00
22.04.2016;7,82;7,82;7,80;7,80;5640,00
25.04.2016;7,72;7,80;7,72;7,73;6325,00
26.04.2016;7,80;7,84;7,80;7,80;5285,00
27.04.2016;7,74;7,82;7,74;7,75;6252,00
28.04.2016;7,73;7,77;7,72;7,77;8946,00
29.04.2016;7,77;7,78;7,75;7,76;5654,00
02.05.2016;7,75;7,78;7,75;7,78;10768,00
03.05.2016;7,78;7,78;7,72;7,72;2382,00
04.05.2016;7,71;7,71;7,67;7,67;10194,00
06.05.2016;7,67;7,68;7,66;7,68;1403,00
09.05.2016;7,69;7,69;7,65;7,68;3505,00
10.05.2016;7,68;7,68;7,64;7,64;8117,00
11.05.2016;7,68;7,75;7,66;7,66;2270,00
12.05.2016;7,67;7,67;7,65;7,66;7455,00
13.05.2016;7,65;7,70;7,64;7,67;3187,00
16.05.2016;7,62;7,75;7,62;7,65;3720,00
17.05.2016;7,66;7,66;7,62;7,62;4110,00
18.05.2016;7,62;7,66;7,62;7,66;3296,00
19.05.2016;7,70;7,70;7,61;7,61;3414,00
20.05.2016;7,59;7,63;7,55;7,55;3773,00
23.05.2016;7,56;7,56;7,51;7,51;3709,00
24.05.2016;7,60;7,60;7,52;7,52;3300,00
25.05.2016;7,52;7,55;7,50;7,55;5245,00
26.05.2016;7,55;7,56;7,53;7,53;1418,00
27.05.2016;7,52;7,53;7,49;7,49;3984,00
30.05.2016;7,49;7,49;7,40;7,49;3738,00
31.05.2016;7,52;7,52;7,48;7,48;758,00
01.06.2016;7,50;7,60;7,50;7,51;7260,00
02.06.2016;7,51;7,53;7,51;7,51;4080,00
03.06.2016;7,51;7,52;7,48;7,50;3270,00
06.06.2016;7,52;7,52;7,51;7,52;2971,00
07.06.2016;7,48;7,52;7,47;7,47;3920,00
08.06.2016;7,46;7,48;7,46;7,46;3880,00
09.06.2016;7,46;7,48;7,46;7,46;3062,00
10.06.2016;7,46;7,48;7,40;7,40;6976,00
13.06.2016;7,40;7,40;7,39;7,39;2200,00
14.06.2016;7,39;7,43;7,39;7,40;3596,00
15.06.2016;7,45;7,45;7,40;7,45;200,00
16.06.2016;7,25;7,39;7,24;7,24;3327,00
17.06.2016;7,40;7,55;7,40;7,55;3722,00
20.06.2016;7,40;7,45;7,40;7,44;4000,00
21.06.2016;7,57;7,60;7,45;7,45;1805,00
22.06.2016;7,45;7,45;7,40;7,40;1020,00
23.06.2016;7,36;7,51;7,35;7,51;1331,00
27.06.2016;7,29;7,35;7,29;7,29;2911,00
28.06.2016;7,25;7,33;7,25;7,33;4116,00
29.06.2016;7,30;7,32;7,29;7,30;3475,00
30.06.2016;7,26;7,30;7,25;7,30;1476,00
01.07.2016;7,32;7,36;7,32;7,34;7104,00
04.07.2016;7,50;7,50;7,32;7,32;1006,00
05.07.2016;7,26;7,30;7,26;7,30;3146,00
06.07.2016;7,29;7,29;7,25;7,25;3380,00
07.07.2016;7,25;7,27;7,24;7,24;2558,00
08.07.2016;7,25;7,25;7,23;7,23;3465,00
11.07.2016;7,22;7,33;7,21;7,30;7850,00
12.07.2016;7,30;7,52;7,30;7,52;1745,00
13.07.2016;7,42;7,42;7,40;7,40;3955,00
14.07.2016;7,40;7,54;7,38;7,54;2038,00
15.07.2016;7,53;7,53;7,39;7,40;2285,00
18.07.2016;7,53;7,53;7,40;7,43;4120,00
19.07.2016;7,42;7,42;7,40;7,42;1811,00
20.07.2016;7,40;7,42;7,40;7,40;3459,00
21.07.2016;7,40;7,52;7,40;7,52;9761,00
22.07.2016;7,52;7,52;7,50;7,51;2735,00
25.07.2016;7,51;7,55;7,50;7,52;8489,00
26.07.2016;7,52;7,56;7,52;7,56;4469,00
27.07.2016;7,56;7,60;7,56;7,60;8232,00
28.07.2016;7,58;7,58;7,55;7,55;2540,00
29.07.2016;7,55;7,55;7,55;7,55;1625,00
01.08.2016;7,53;7,53;7,48;7,51;7649,00
02.08.2016;7,51;7,51;7,47;7,50;2615,00
03.08.2016;7,50;7,50;7,46;7,47;3504,00
04.08.2016;7,46;7,47;7,46;7,46;5786,00
05.08.2016;7,48;7,48;7,45;7,45;8183,00
08.08.2016;7,48;7,48;7,45;7,46;9680,00
09.08.2016;7,50;7,53;7,48;7,48;14700,00
10.08.2016;7,51;7,62;7,51;7,55;10850,00
11.08.2016;7,55;7,55;7,52;7,54;16685,00
12.08.2016;7,56;7,70;7,54;7,70;18347,00
15.08.2016;7,66;7,66;7,58;7,58;16903,00
16.08.2016;7,60;7,60;7,57;7,60;7287,00
17.08.2016;7,68;7,68;7,58;7,58;8340,00
18.08.2016;7,58;7,58;7,31;7,34;24348,00
19.08.2016;7,34;7,50;7,31;7,33;18620,00
22.08.2016;7,35;7,44;7,35;7,40;7905,00
23.08.2016;7,45;7,45;7,39;7,39;3606,00
24.08.2016;7,41;7,41;7,39;7,39;3215,00
25.08.2016;7,40;7,40;7,30;7,36;9315,00
26.08.2016;7,39;7,39;7,30;7,34;17230,00
29.08.2016;7,34;7,38;7,30;7,34;36422,00
30.08.2016;7,34;7,39;7,30;7,32;8392,00
31.08.2016;7,30;7,30;7,22;7,22;7674,00
01.09.2016;7,22;7,32;7,22;7,30;16483,00
02.09.2016;7,31;7,31;7,25;7,31;9478,00
05.09.2016;7,32;7,32;7,28;7,28;4390,00
06.09.2016;7,26;7,42;7,26;7,42;22343,00
07.09.2016;7,45;7,45;7,42;7,42;2035,00
08.09.2016;7,40;7,40;7,40;7,40;4260,00
09.09.2016;7,45;7,45;7,26;7,26;5685,00
12.09.2016;7,24;7,24;7,14;7,20;19160,00
13.09.2016;7,22;7,23;7,16;7,16;6039,00
14.09.2016;7,16;7,16;7,06;7,09;27251,00
15.09.2016;7,07;7,07;7,00;7,00;13055,00
16.09.2016;7,00;7,00;6,76;6,93;9858,00
19.09.2016;6,85;6,85;6,50;6,60;19124,00
20.09.2016;6,51;6,62;6,26;6,26;18422,00
21.09.2016;6,26;6,50;6,26;6,42;8642,00
22.09.2016;6,45;6,53;6,45;6,46;2055,00
23.09.2016;6,47;6,77;6,47;6,75;2912,00
26.09.2016;6,71;6,71;6,54;6,60;2125,00
27.09.2016;6,59;6,63;6,59;6,63;950,00
28.09.2016;6,64;6,66;6,64;6,66;316,00
29.09.2016;6,73;6,74;6,66;6,66;2120,00
30.09.2016;6,58;6,69;6,58;6,68;1724,00
03.10.2016;6,69;6,78;6,68;6,78;3775,00
04.10.2016;6,78;6,78;6,55;6,65;2661,00
05.10.2016;6,61;6,70;6,61;6,67;900,00
06.10.2016;6,70;6,70;6,56;6,59;1750,00
07.10.2016;6,57;6,64;6,53;6,63;1425,00
10.10.2016;6,60;6,60;6,50;6,50;1700,00
11.10.2016;6,50;6,50;6,24;6,26;3990,00
12.10.2016;6,29;6,29;6,05;6,07;12030,00
13.10.2016;6,20;6,20;6,05;6,10;3298,00
14.10.2016;6,05;6,37;6,05;6,37;5638,00
17.10.2016;6,30;6,45;6,30;6,45;4367,00
18.10.2016;6,44;6,55;6,44;6,55;6940,00
19.10.2016;6,55;6,55;6,55;6,55;380,00
20.10.2016;6,55;6,55;6,55;6,55;0,00
21.10.2016;6,49;6,49;6,35;6,35;2181,00
24.10.2016;6,36;6,36;6,35;6,35;1731,00
25.10.2016;6,35;6,35;6,32;6,32;1170,00
26.10.2016;6,30;6,30;6,22;6,22;1500,00
27.10.2016;6,22;6,22;6,21;6,21;650,00
28.10.2016;6,06;6,21;6,06;6,18;432,00
31.10.2016;6,18;6,18;6,18;6,18;20,00
01.11.2016;6,10;6,10;6,00;6,00;4284,00
02.11.2016;5,98;6,04;5,98;6,04;1100,00
03.11.2016;6,10;6,10;5,92;6,00;1160,00
04.11.2016;6,06;6,06;6,00;6,00;1840,00
07.11.2016;6,00;6,07;5,90;5,90;2706,00
08.11.2016;5,91;5,92;5,83;5,85;6755,00
09.11.2016;5,85;5,95;5,70;5,90;12104,00
10.11.2016;5,95;5,95;5,84;5,95;10525,00
11.11.2016;5,95;5,98;5,91;5,91;4373,00
14.11.2016;5,91;5,92;5,84;5,90;17693,00
15.11.2016;5,90;5,92;5,84;5,89;19855,00
16.11.2016;5,90;6,00;5,90;6,00;325,00
17.11.2016;5,89;5,91;5,85;5,88;675,00
18.11.2016;5,88;5,88;5,75;5,80;3965,00
21.11.2016;5,72;5,76;5,50;5,68;7360,00
22.11.2016;5,61;5,62;5,55;5,60;3483,00
